========================================================
  BS(45,44) — Thermodynamically Guided Solver
  Targeting NPAF=0 inside Theorem 2.2 Manifold
  [ Threads: 7 ]
========================================================
Loaded 180 valid sum signatures.

[62946.1s] SA epochs explored locally: 112 Speed: 0.0017793
[62976.7s] SA epochs explored locally: 119 Speed: 0.00188959
[63221.4s] SA epochs explored locally: 126 Speed: 0.001993
[63277.5s] SA epochs explored locally: 133 Speed: 0.00210185
[63352.5s] SA epochs explored locally: 140 Speed: 0.00220986
[63379.2s] SA epochs explored locally: 147 Speed: 0.00231937
[63451.1s] SA epochs explored locally: 154 Speed: 0.00242706
[63728.3s] SA epochs explored locally: 161 Speed: 0.00252635
[63862.8s] SA epochs explored locally: 168 Speed: 0.00263064
[63923s] SA epochs explored locally: 175 Speed: 0.00273767
[64254.1s] SA epochs explored locally: 182 Speed: 0.0028325
[64325.9s] SA epochs explored locally: 189 Speed: 0.00293816
[64542.6s] SA epochs explored locally: 196 Speed: 0.00303675
[64840s] SA epochs explored locally: 203 Speed: 0.00313078
[64847.9s] SA epochs explored locally: 210 Speed: 0.00323835
[64855.7s] SA epochs explored locally: 217 Speed: 0.00334589
[65127.7s] SA epochs explored locally: 224 Speed: 0.0034394
[65210.2s] SA epochs explored locally: 231 Speed: 0.00354239
[65262.8s] SA epochs explored locally: 238 Speed: 0.00364679
[65500.1s] SA epochs explored locally: 245 Speed: 0.00374045
[65580s] SA epochs explored locally: 252 Speed: 0.00384263
[65722.6s] SA epochs explored locally: 259 Speed: 0.00394081
[65787s] SA epochs explored locally: 266 Speed: 0.00404335
[65814s] SA epochs explored locally: 273 Speed: 0.00414806
[65926.1s] SA epochs explored locally: 280 Speed: 0.00424718
[65945.3s] SA epochs explored locally: 287 Speed: 0.00435209
[66002.2s] SA epochs explored locally: 294 Speed: 0.0044544
[66062.8s] SA epochs explored locally: 301 Speed: 0.00455627
[66228.3s] SA epochs explored locally: 308 Speed: 0.00465058
[66236.1s] SA epochs explored locally: 315 Speed: 0.00475571
[66300.4s] SA epochs explored locally: 322 Speed: 0.00485668
[66375.1s] SA epochs explored locally: 329 Speed: 0.00495668
[66524.5s] SA epochs explored locally: 336 Speed: 0.00505077
[66573.6s] SA epochs explored locally: 343 Speed: 0.0051522
[66581.4s] SA epochs explored locally: 350 Speed: 0.00525673
[66645.8s] SA epochs explored locally: 357 Speed: 0.00535668
[66846.3s] SA epochs explored locally: 364 Speed: 0.00544532
[66918.3s] SA epochs explored locally: 371 Speed: 0.00554407
[67045s] SA epochs explored locally: 378 Speed: 0.00563801
[67198.4s] SA epochs explored locally: 385 Speed: 0.0057293
[67262.1s] SA epochs explored locally: 392 Speed: 0.00582795
[67314.5s] SA epochs explored locally: 399 Speed: 0.0059274
[67416.2s] SA epochs explored locally: 406 Speed: 0.00602229
[67446.8s] SA epochs explored locally: 413 Speed: 0.00612335
[67458.2s] SA epochs explored locally: 420 Speed: 0.00622608
[67696s] SA epochs explored locally: 427 Speed: 0.00630761
[67829.7s] SA epochs explored locally: 434 Speed: 0.00639838
[67863.6s] SA epochs explored locally: 441 Speed: 0.00649833
[67908.8s] SA epochs explored locally: 448 Speed: 0.00659708
[67939.3s] SA epochs explored locally: 455 Speed: 0.00669715
[68006.8s] SA epochs explored locally: 462 Speed: 0.00679344
[68055.3s] SA epochs explored locally: 469 Speed: 0.00689145
[68204.8s] SA epochs explored locally: 476 Speed: 0.00697898
[68446.8s] SA epochs explored locally: 483 Speed: 0.00705658
[68514.6s] SA epochs explored locally: 490 Speed: 0.00715176
[68601.5s] SA epochs explored locally: 497 Speed: 0.00724474
[68708s] SA epochs explored locally: 504 Speed: 0.00733539
[69031.1s] SA epochs explored locally: 511 Speed: 0.00740246
[69098.8s] SA epochs explored locally: 518 Speed: 0.00749651
[69177.1s] SA epochs explored locally: 525 Speed: 0.00758921
[69277.9s] SA epochs explored locally: 532 Speed: 0.00767921
